CodingHours,CoffeeCupsPerDay,CoffeeTime,CodingWithoutCoffee
8,2,Before coding,Yes
3,2,Before coding,Yes
5,3,While coding,No
8,2,Before coding,No
10,3,While coding,Sometimes
8,2,While coding,Sometimes
5,2,While coding,Yes
10,4,Before coding,Sometimes
10,2,While coding,Yes
10,2,While coding,Yes
10,3,While coding,Sometimes
2,3,Before coding,Sometimes
8,2,Before and while coding,No
9,3,While coding,Sometimes
6,1,Before coding,Yes
6,3,While coding,No
10,3,While coding,Sometimes
6,4,While coding,Yes
8,3,While coding,No
3,1,In the morning,Yes
3,3,While coding,Yes
9,5,While coding,Sometimes
4,2,While coding,Sometimes
8,3,While coding,No
5,3,While coding,Sometimes
6,3,While coding,Yes
7,4,Before coding,Sometimes
8,4,While coding,Sometimes
7,1,Before coding,Yes
2,2,While coding,Sometimes
10,6,All the time,No
2,2,While coding,No
9,2,Before coding,Sometimes
4,1,Before coding,Yes
6,2,While coding,Sometimes
2,2,While coding,Yes
2,3,All the time,Sometimes
7,7,After coding,Yes
1,1,While coding,Yes
4,2,While coding,Yes
8,2,While coding,Sometimes
8,4,While coding,Sometimes
3,2,While coding,Sometimes
10,6,While coding,Sometimes
3,2,After coding,Yes
7,2,While coding,Sometimes
2,1,While coding,Sometimes
9,1,In the morning,Yes
8,2,Before coding,No
6,1,Before coding,Yes
